priority,category,merchant,mall,city,rating,reviews,avg_price,branches,phone,website,opening_hours,lat,lng,reviews_text,price_mid_raw,price_mid,price_segment,pos_kw_count,neg_kw_count,sentiment_ratio,sentiment_label,top_pos_kw,top_neg_kw,mentions_delivery,geo_zone,bd_priority_score,tier,quadrant
Low,Casual Dining,مطعم جارام مسالا,الراشد ميغا مول المدينة المنورة,Medina,3.2,107,,1,058 303 8887,,"السبت: 9:30 ص – 1:00 ص, الأحد: 9:30 ص – 1:00 ص, الاثنين: 9:30 ص – 1:00 ص, الثلاثاء: 9:30 ص – 1:00 ص, الأربعاء: 9:30 ص – 1:00 ص, الخميس: 9:30 ص – 1:00 ص, الجمعة: 9:30 ص – 1:00 ص",24.4873563,39.6490091,اخذت من عندهم برياني مع ايدامات دجاج تكا ومسالا زبده وكمان سمبوسة جداجدا سيء البهارات طاااغية والملح زااااايد جدااا والس… | اخذت عرض اليوم الطعم عادي جداً والبهارات مره كثيررره والسلطه بس زبادي مافيها خيار كثير ماارجع اكرر التجربه | سيء جدا الطعم والدجاج طعمه مو طبيعي مقزز الحمدلله على النعمه ماقدرنا نأكل منه شي رميناه زي ماهو,,60.0,Mid,0,1,0.0,Negative,,سيء,False,South,33.19,Tier 3,❌ Weak
High,Casual Dining,الراشد ميغا مول المدينة المنورة,الراشد ميغا مول المدينة المنورة,Medina,4.3,30313,,9,014 835 8888,https://linktr.ee/alrashidmallmed,"السبت: 9:00 ص – 1:00 ص, الأحد: 9:00 ص – 1:00 ص, الاثنين: 9:00 ص – 1:00 ص, الثلاثاء: 9:00 ص – 1:00 ص, الأربعاء: 9:00 ص – 1:00 ص, الخميس: 9:00 ص – 1:00 ص, الجمعة: 9:00 ص – 1:00 ص",24.4874742,39.64916059999999,"⭐⭐⭐⭐⭐ تقييمي هذا بعد تجربة فعلية وبعد استخدام وبصراحة بوتيك DRUMS Perfume في الراشد مول بالمدينة المنورة من أفضل وأفخم ا… | ""يا أهل المدينة وزوار الراشد مول، نصيحة لا يطوفكم محل درومس بارفيوم. أفضل وجهة للعطور العالمية وأنتِ مغمضة، لأن جودتهم أ… | معكم المرشد السياحي في المدينة المنورة ""محمد الحجيلي"" تفضلوا معلومات بسيطة عن الراشد ميغا مول | Al Rashid Mega Mall يقع …",,60.0,Mid,1,0,1.0,Positive,أفضل,,False,South,80.7,Tier 1,⭐ Star
Medium,Casual Dining,PAUL بول,الراشد ميغا مول المدينة المنورة,Medina,4.4,1471,,3,,,"السبت: 9:00 ص – 1:00 ص, الأحد: 9:00 ص – 1:00 ص, الاثنين: 9:00 ص – 12:00 ص, الثلاثاء: 9:00 ص – 1:00 ص, الأربعاء: 9:00 ص – 1:00 ص, الخميس: 9:00 ص – 1:00 ص, الجمعة: 1:00 م – 1:00 ص",24.487861,39.6491459,روحنا باول اللي في الراشد المكان روعة ولو ابغا ارجع عشان جمال المكان وروعته طلبنا كابتشينو بالكارميل طلع حالي بزيادة كأن… | مطعم جميل ورائع من جميع الجوانب الوجبات الغذائيه تقدم بالأسلوب الفرنسي ،، مواد جميع الوجبات سواء الدجاج او اللحوم او الد… | اول شي بالنسبة للمكان و الاجواء مرا حلو المكان و كيف الزرع حواليه و شمس من فوق تجربة جميلة و خدمة ممتازة و كل الموظفين خ…,,60.0,Mid,6,0,1.0,Positive,"رائع, ممتاز, ممتازة",,False,South,58.76,Tier 2,⭐ Star
High,Casual Dining,سويس باتر,الراشد ميغا مول المدينة المنورة,Medina,4.7,2515,,22,054 910 4466,https://swissbutter.com/,"السبت: 12:00 م – 1:00 ص, الأحد: 12:00 م – 1:00 ص, الاثنين: 12:00 م – 1:00 ص, الثلاثاء: 12:00 م – 1:00 ص, الأربعاء: 12:00 م – 1:00 ص, الخميس: 12:00 م – 1:00 ص, الجمعة: 12:00 م – 1:00 ص",24.4937023,39.5954409,تجربة جميلة في Swiss Butter. الأكل كان لذيذ والطعم مميز فعلًا، خصوصًا الصوص اللي يعطي نكهة مختلفة. أكثر شيء عجبني خدمة ا… | صراحة مطعم الستيك ما عجبني أبدًا، النكهة تختلف عن فرعهم اللي بجدة. اللحم اللي جاني كان فيه دم رغم إني طلبته ويل دن، وجود… | من أجمل التجارب بصراحة الأجواء مريحة للغاية مع مراعاة البرد وتوفير دفايات النظافة ١٠/١٠ بشاشة الموظفين آسرة للغاية الأكل…,,60.0,Mid,4,0,1.0,Positive,"لذيذ, جميل, جميلة",,False,South,82.78,Tier 1,⭐ Star
Medium,Casual Dining,كانتون,الراشد ميغا مول المدينة المنورة,Medina,3.8,293,40–80 SAR,2,9200 00129,https://canton-express.com/,"السبت: 11:30 ص – 11:30 م, الأحد: 11:30 ص – 11:30 م, الاثنين: 11:30 ص – 11:30 م, الثلاثاء: 11:30 ص – 11:30 م, الأربعاء: 11:30 ص – 11:30 م, الخميس: 11:30 ص – 11:30 م, الجمعة: 1:30–11:30 م",24.4880612,39.6486869,هذا ثاني فرع اجربه وللاسف نفس المشكله العامل مايلبس قلفز !! واضح لكم بالصوره يلبسه قدامي وباقي طلبات التوصيل يجهزها بدون… | طلبت عرض من كيتا دجاج كونغ باو او شي زي كذا اول شي جاني بارد والخضار هي الطبق الرئيسي الصحن مليان خضار وجاني سبرينج رول … | لدي ملاحظة على موظفة شفت المساء، كان أسلوبها غير مناسب، ولم تتعاون في شرح الطلب أو الأسعار، وكانت تكرر “طالع في اللوحة” …,60.0,60.0,Mid,0,1,0.0,Negative,,بارد,True,South,51.63,Tier 2,❌ Weak
Low,Casual Dining,فلافينا,الراشد ميغا مول المدينة المنورة,Medina,4.6,27,,1,055 453 0111,,"السبت: 9:00 ص – 12:00 ص, الأحد: 9:00 ص – 12:00 ص, الاثنين: 9:00 ص – 12:00 ص, الثلاثاء: 9:00 ص – 12:00 ص, الأربعاء: 9:00 ص – 12:00 ص, الخميس: 9:00 ص – 12:00 ص, الجمعة: 2:00 م – 12:00 ص",24.4868041,39.64941210000001,١- طلبت سندويتش فلافل بالعيش عادي اللي يسميه صاج بدون سلطات ولا بيض ولا طحينة عشين أجربه فكان فلافل لذيذ جدًّا وجودته ال… | جربت فطيرة الفلافل الميني ب٨ ريال ماشاءللله لذيذه وتشبع ماكنها ميني😂 مليانه جبنة وخلطه لذيذة الاخ الكاشير خلوق ومتعاون ش… | اسوووء فرع طلبت فلافل شير وجاب لي الفول بارد يقول ينوكل بارد ورفضت استلم طلبي قام يسخنه بطريقه غريبه في حقة البيتزا وفي …,,60.0,Mid,2,1,0.67,Mixed,"لذيذ, لذيذة",بارد,False,South,40.28,Tier 3,💎 Hidden Gem
Low,Casual Dining,ماكرونه روما,الراشد ميغا مول المدينة المنورة,Medina,4.0,214,,1,055 896 1926,https://www.instagram.com/pasta_roma_/,"السبت: 11:00 ص – 1:00 ص, الأحد: 11:00 ص – 1:00 ص, الاثنين: 11:00 ص – 1:00 ص, الثلاثاء: 11:00 ص – 1:00 ص, الأربعاء: 11:00 ص – 1:00 ص, الخميس: 11:00 ص – 1:00 ص, الجمعة: 1:00 م – 1:00 ص",24.4878435,39.6490484,تم طلب الفريدو دجاج ومارغريتا... العجينة جيدة الحجم جيد.. لكن الدهن عالي جدا(المنديل لقطعة واحدة) واعتقد السبب من جبنة ا… | خدمة ممتازة والموظف جمال جعلها أفضل بإبتسامة وترحيب راقي، شكرا جزيلا جمال على حسن معاملتك وحسن كلامك. | طعم جميل 😇😇 سرعة اللهم بارك 👌👌 تعامل راقي 😊😊😊 انصح بتجربة هذا الفرع 😊😊 بس✋✋✋ فقط الجبن حق البطاطس تشيكن فرايز مرة قليلة …,,60.0,Mid,5,0,1.0,Positive,"ممتاز, ممتازة, جميل",,False,South,50.94,Tier 2,❌ Weak
High,Casual Dining,بهار البحر,الراشد ميغا مول المدينة المنورة,Medina,4.6,1974,,27,056 048 4888,,"السبت: 12:30 م – 12:30 ص, الأحد: 12:30 م – 12:30 ص, الاثنين: 12:30 م – 12:30 ص, الثلاثاء: 12:30 م – 12:30 ص, الأربعاء: 12:30 م – 12:30 ص, الخميس: 12:30 م – 12:30 ص, الجمعة: 12:30 م – 12:30 ص",24.4711667,39.61065749999999,المطعم جوه هادي وينفع للعوائل. اكلهم حلو ونظيف وعندهم أطباق مختلفة مثل اللحم والدجاج غير الأطباق البحرية. انصح فيه The r… | مطعم Sea Spice من أجمل التجارب اللي ممكن تعيشها! الأكل طازج ولذيذ جدًا، والمنيو متنوع بشكل يرضي كل الأذواق. الخدمة ممتاز… | مطعم جميع وأكلهم لذيذ وتعامل موضفين جدا راقي خصوصا مسؤل رنا حميد له كل شكر,,60.0,Mid,5,0,1.0,Positive,"لذيذ, ممتاز, نظيف",,False,South,76.83,Tier 1,⭐ Star
Medium,Casual Dining,Texas Chiken,الراشد ميغا مول المدينة المنورة,Medina,4.2,460,40–80 SAR,3,9200 20262,https://ksa.texaschicken.com/,"السبت: 11:00 ص – 1:00 ص, الأحد: 11:00 ص – 1:00 ص, الاثنين: 11:00 ص – 1:00 ص, الثلاثاء: 11:00 ص – 1:00 ص, الأربعاء: 11:00 ص – 1:00 ص, الخميس: 11:00 ص – 1:00 ص, الجمعة: 11:00 ص – 1:00 ص",24.487634,39.648764,جميل المكان واحلى مافيه الموظفين شكرا زهره وسيف وعابد شكرا لكم ❤️❤️. | تعامل الموظف جدا لبق ومهذب واحترافي ووممتاز جدا اهنئكم عليه | موظفة الكاشير لئيمه ورحت الفرع اكثر من مرا اطلب ودائماً تعاملها غير محترم. حاولت أعطيها اكثر من فرصه، قلت مضغوطه لكن مو …,60.0,60.0,Mid,3,0,1.0,Positive,"ممتاز, جميل, احترافي",,False,South,60.64,Tier 2,❌ Weak
High,Casual Dining,Applebee’s,الراشد ميغا مول المدينة المنورة,Medina,4.2,3374,80–150 SAR,2,014 835 8659,http://applebeesme.com/,"السبت: 11:00 ص – 12:00 ص, الأحد: 11:00 ص – 12:00 ص, الاثنين: 11:00 ص – 12:00 ص, الثلاثاء: 11:00 ص – 12:00 ص, الأربعاء: 11:00 ص – 12:00 ص, الخميس: 11:00 ص – 12:00 ص, الجمعة: 1:00 م – 1:00 ص",24.4886367,39.6492954,بلال 1000000/1000000 very good ⭐️⭐️⭐️⭐️⭐️. المطعم لذيذ جربنا برقر اللحم وبرقر دجاج وسلطه فيستا تجنننن تجنن تجنن طلباتنا … | غني عن التعريف ولاتفوتكم سلطة فييستا روعة الصراحة وتعتبر وجبة كاملة لما فيها من مكونات غدائية كاملة وكمان الصنف التاني ف… | تجربتي كانت أكثر من رائعة 🙌 وأحب أقول كلمة حق في عزيزه، إنسانة في قمة الذوق والاحترام، أسلوبها راقي جدًا وتعاملها يبين ط…,115.0,115.0,Premium,3,0,1.0,Positive,"لذيذ, رائع, رائعة",,False,South,68.12,Tier 2,⚠️ Risky
Low,Casual Dining,شركة مطاعم سبأ,الراشد ميغا مول المدينة المنورة,Medina,3.7,174,,1,,,"السبت: 9:00 ص – 12:00 ص, الأحد: 9:00 ص – 12:00 ص, الاثنين: 9:00 ص – 12:00 ص, الثلاثاء: 9:00 ص – 12:00 ص, الأربعاء: 9:00 ص – 12:00 ص, الخميس: 9:00 ص – 12:30 ص, الجمعة: 1:00 م – 12:30 ص",24.4869847,39.6497299,الاسعار عالية وتعتبر الدبل بالنسبة لباقي المطاعم لكن ربما يشفع له ايجار المول🤔! بالنسبة لي من سنوات اجيه عشان اللذة الظا… | يوجد مطعمين في الراشد مول اسمها سبأ و كلاهما مميز جربت اليوم المرسى الجيزانية بالسمن و العسل مع الشاي العدني من الفرع ال… | صورت قبل ما اكل عشان تشوفوا ك طعم ما شاءالله لذيذ بدون فلسلفة 😍,,60.0,Mid,1,0,1.0,Positive,لذيذ,,False,South,44.07,Tier 3,❌ Weak
High,Casual Dining,مطعم اطلالة احد ( مطعم وتراس وكافيه ),الراشد ميغا مول المدينة المنورة,Medina,4.3,2608,40–80 SAR,2,055 306 3099,,"السبت: 1:00 م – 1:00 ص, الأحد: 1:00 م – 1:00 ص, الاثنين: 1:00 م – 1:00 ص, الثلاثاء: 1:00 م – 1:00 ص, الأربعاء: 1:00 م – 1:00 ص, الخميس: 1:00 م – 1:00 ص, الجمعة: 1:00 م – 1:00 ص",24.4845979,39.6496085,"أشكر الأستاذ محمد ابراهيم على لباقته وصبرهم عليه بصراحه طبعا"" طلبت سحلب وطلبت كونيا لحم وجبن متر طولها والأسعار جدا"" ممت… | اختصار للكلام وبدون مقدمة يشهد علي الله بطل بطل بطل لذيذ طري يفتح النفس ماشاء الله. طلبت نفر مشاري اربع اصياخ لحم بالكرز… | خمس نجمات للخدمه والموضفين المحترمين والمكان الجميل . الاكل تحت المتوسط بصراحه والاسعار اغلى من كل مطاعم المشويات الثاني…",60.0,60.0,Mid,2,0,1.0,Positive,"لذيذ, جميل",,False,South,63.15,Tier 2,⭐ Star
High,Casual Dining,مطعم إنديز للماكولات الهندية والصينية,الراشد ميغا مول المدينة المنورة,Medina,4.8,12711,40–80 SAR,2,800 429 0042,https://instagram.com/indeseksa?igshid=YmMyMTA2M2Y=,"السبت: 1:00 م – 1:00 ص, الأحد: 1:00 م – 1:00 ص, الاثنين: 1:00 م – 1:00 ص, الثلاثاء: 1:00 م – 1:00 ص, الأربعاء: 1:00 م – 1:00 ص, الخميس: 1:00 م – 2:00 ص, الجمعة: 1:00 م – 2:00 ص",24.4757714,39.6594335,الاكل لذيذ لذيذ المكان جميل وكبير الدور الاول جلسات مفتوحه والدور الثاني جلسات خاصه مقفله للعوائل برياني انديز الخاص جمي… | مطعم انديز من أفضل المطاعم اللي جمعت بين النكهة الهندية والصينية باحتراف 👌 الأكل لذيذ جدًا، النكهات موزونة وواضحة، والتق… | الله يكرم النعمه ماعجبني بصراحه شربة العدس: لابأس برياني ساده : اقل من متوسط برياني دجاج : اقل من مقبول دجاج زبده : اقل …,60.0,60.0,Mid,4,0,1.0,Positive,"لذيذ, جميل, أفضل",,False,South,73.54,Tier 2,⭐ Star
