mall,merchant_count,avg_rating,avg_reviews,total_reviews,avg_bd_score,pct_tier1,pct_high_pri,pct_positive,pct_delivery
Al Saha Commercial Market,77,4.26,2022.65,155744,57.72,14.29,33.77,80.52,0.0
Cenomi Al Noor Mall | سينومي النور مول,45,4.14,2878.96,129553,55.72,13.33,26.67,73.33,0.02
Medina Boulevard,97,4.29,2426.91,235410,62.96,12.37,50.52,71.13,0.03
أسواق بن داود,55,4.24,3714.2,204281,60.82,12.73,49.09,72.73,0.05
أنوار المدينة للهدايا,70,4.4,2744.54,192118,56.86,11.43,37.14,71.43,0.0
الحسن مول,75,4.33,2462.93,184720,63.78,10.67,52.0,78.67,0.03
الراشد ميغا مول المدينة المنورة,93,4.29,2356.23,219129,60.88,18.28,45.16,72.04,0.02
العالية مول - كنان,66,4.27,2815.29,185809,59.54,9.09,40.91,72.73,0.03
العباءة الشرقية - مركز أوبروي التجاري,60,4.24,2582.38,154943,57.8,13.33,33.33,75.0,0.0
العروبة مول,75,4.29,2383.97,178798,62.57,14.67,49.33,77.33,0.0
المدينة مول,111,4.29,2720.91,302021,62.06,11.71,50.45,75.68,0.02
المنار مول,83,4.26,3587.98,297802,62.41,13.25,51.81,75.9,0.02
انوار المدينة مول,89,4.27,3161.43,281367,61.1,13.48,43.82,76.4,0.0
توب تن,115,4.31,1972.05,226786,58.28,10.43,38.26,66.96,0.0
سوق الغربية التجاري,75,4.4,2407.53,180565,61.93,14.67,50.67,84.0,0.01
سوق المدينة الدولي,90,4.34,2475.16,222764,62.32,13.33,51.11,76.67,0.02
سيتي مول,58,4.2,1429.22,82895,56.1,6.9,34.48,60.34,0.0
شركة لؤلؤة الموضة,92,4.28,2720.58,250293,58.9,9.78,43.48,75.0,0.0
مجمع الساحة التجاري المدينة المنورة,68,4.3,2486.91,169110,62.02,10.29,51.47,76.47,0.03
مجمع العرب,94,4.3,3860.68,362904,62.65,13.83,54.26,78.72,0.02
مجمع القارات,84,4.31,2634.39,221289,64.01,19.05,55.95,77.38,0.02
مجمع القمه,81,4.35,2762.59,223770,63.39,11.11,54.32,83.95,0.01
مجمع قباء التجاري,87,4.37,2238.02,194708,61.64,13.79,54.02,80.46,0.01
مركز الداودية التجاري,94,4.35,2098.51,197260,60.07,11.7,43.62,71.28,0.0
مركز المجيدي السكني والتجاري,78,4.28,2093.67,163306,60.25,12.82,42.31,78.21,0.01
مركز المدينة المنورة,122,4.33,2641.31,322240,64.21,13.11,62.3,73.77,0.02
مركز طيبة,105,4.21,1895.69,199047,57.93,12.38,39.05,66.67,0.01
مركز معين المدينة التجاري,88,4.35,2254.08,198359,62.46,12.5,50.0,78.41,0.0
مزايا مول,104,4.36,2306.56,239882,61.24,13.46,39.42,79.81,0.02
مول المدينه المنوره,108,4.22,3345.99,361367,61.43,9.26,51.85,76.85,0.02
