priority,category,merchant,mall,city,rating,reviews,avg_price,branches,phone,website,opening_hours,lat,lng,reviews_text,price_mid_raw,price_mid,price_segment,pos_kw_count,neg_kw_count,sentiment_ratio,sentiment_label,top_pos_kw,top_neg_kw,mentions_delivery,geo_zone,bd_priority_score,tier,quadrant
High,Entertainment,ڤوكس سينما,رد سي مول,Jeddah,4.3,16545,,8,9200 06883,https://ksa.voxcinemas.com/ar?utm_source=google&utm_campaign=local_search&utm_medium=organic,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: نعمل على مدار 24 ساعة",21.6268724,39.113082,السينما واسعة وشرحه ، وتعامل الموظفين لبق ومحترم. لكن للأسف صالة السينما كانت حارة جدًا وبطريقة مزعجة، وانتظرنا وقت طويل… | اشكر المشرفة غرام على تعاونها رغم اني غلطت بالحجز على صالة في مول بعيد بس عوضتني بحجز في الردسي والشكر موصول للاخ محمد ا… | تجربة كانت ممتازة في السينما دخلت فلم رعب في صالة VIP وكنت لوحدي تجربة رهيبة جداً,,60.0,Mid,2,1,0.67,Mixed,"ممتاز, ممتازة",مزعج,False,South,73.12,Tier 2,⭐ Star
High,Entertainment,The DockX,رد سي مول,Jeddah,4.6,925,,6,053 852 2749,https://thedockx.com/,"السبت: 12:00 م – 12:00 ص, الأحد: 2:00 م – 12:00 ص, الاثنين: 2:00 م – 12:00 ص, الثلاثاء: 2:00 م – 12:00 ص, الأربعاء: 2:00 م – 12:00 ص, الخميس: 2:00 م – 2:00 ص, الجمعة: 2:00 م – 2:00 ص",21.6268027,39.1131386,المكان جميل وألعابه رائعة مناسب لعمر ١٠ سنوات وفوق ، فيه بولنق وألعاب تفاعلية وإلكترونية وهوكي وفرفيرة وسباق سيارات بس س… | تجربه رائعه كل ويكند اقضيه مع عائلتي . مكان جميل و نظافه و خدمة و العاب تجنن بالذات للاعمار فوق ١٠ سنوات يقدروا يشاركوا … | مكان فناااااان فعلياً للكبار و فيه العاب كتير رهيبة 😍😍 و الستاف جداً تعاملهم راقي و متعاونين شكراً لهم 🙏🏼,,60.0,Mid,3,0,1.0,Positive,"رائع, رائعة, جميل",,False,South,72.12,Tier 2,⭐ Star
High,Entertainment,جيم اوفر,رد سي مول,Jeddah,4.9,1154,,1,056 071 8761,https://gameover.sa/,"السبت: 4:00 م – 12:00 ص, الأحد: 4:00 م – 12:00 ص, الاثنين: 4:00 م – 12:00 ص, الثلاثاء: 4:00 م – 12:00 ص, الأربعاء: 4:00 م – 12:00 ص, الخميس: 4:00 م – 1:00 ص, الجمعة: 4:00 م – 1:00 ص",21.627964,39.1114484,المكان جميل و الألعاب حلووة تم دخول لعبة السحر ٢ جميييلة جدا | بصراحة من أروع وأمتع تجاربي في السكيب روم 🤩🔥 المكان مرتب ونظيف والأجواء خرافية، وكل التفاصيل تخليك تعيش التجربة صح 👌 غير… | بصراحه مكان ممتع و كل شي و في موظفه مره عسوله اسمها ندى تعاملها راقي مرهه سلبية المكان الوحيده الصراحه السعر ليت تراجعو …,,60.0,Mid,2,0,1.0,Positive,"جميل, نظيف",,False,South,68.24,Tier 2,⭐ Star
High,Entertainment,رد سي مول,رد سي مول,Jeddah,4.5,73303,,5,012 215 1551,https://redseamall.com/,"السبت: 10:00 ص – 11:00 م, الأحد: 10:00 ص – 11:00 م, الاثنين: 10:00 ص – 11:00 م, الثلاثاء: 10:00 ص – 11:00 م, الأربعاء: 10:00 ص – 11:00 م, الخميس: 10:00 ص – 11:00 م, الجمعة: 1:00–11:00 م",21.6286568,39.1118495,كل شي حلو وانبسطنا مره محلاته حلوه وكل شي فيه بس في شي زعلني وضايقنا احنا مو من اهل البلد وجايه اشتري ل اولادي تيشيرت ال… | المول الأول للتسوق في جدة. تنوع المحلات و وجود المطاعم و أماكن ترفيه الأطفال تجعله المكان الأنسب للعائلات في جدة. كانت ا… | من أجمل مراكز التسوق ومعالم الجذب بجدة يتكون من ثلاث أدوار توجد مواقف اضافية علوية بالاضافة للسفلية والامامية يوجد فيه س…,,60.0,Mid,1,0,1.0,Positive,تنوع,,False,South,78.27,Tier 1,⭐ Star
High,Entertainment,ملاهي أطفال أدفينتورا,رد سي مول,Jeddah,4.0,608,,11,053 186 6555,http://adventura.com.sa/,"السبت: 10:00 ص – 12:00 ص, الأحد: 10:00 ص – 12:00 ص, الاثنين: 10:00 ص – 12:00 ص, الثلاثاء: 10:00 ص – 12:00 ص, الأربعاء: 10:00 ص – 12:00 ص, الخميس: 10:00 ص – 1:00 ص, الجمعة: 2:00 م – 1:00 ص",21.6277648,39.1112819,تجربتي مع ألعاب Adventure في الردسي مول للأسف ما كانت موفقة. المكان كان مظلم وكئيب وما فيه أجواء مبهجة للأطفال. بنتي الص… | المكان مره تغير للأسوء للأسف الشديد ، كنت اودي له ولدي كل يوم جمعه لما اجي رد سي وكانت الخدمه جيده دحين للأسف بدأ يتغير … | المكان ممتاز وكل شي فيه كان رائع 👌لكن عندي ملاحظة على موظفة الكاشير 👎أسلوبها في الكلام وطريقة شرح سياسة الملاهي جداً غير…,,60.0,Mid,2,0,1.0,Positive,"رائع, ممتاز",,False,South,74.14,Tier 2,⚠️ Risky
Medium,Entertainment,شاطئ الردسي Red Sea Beach,رد سي مول,Jeddah,4.3,436,,2,9200 27758 ext. 203,https://rsb.alkamal.sa/mKrrPa,"السبت: 9:00 ص – 12:00 ص, الأحد: 9:00 ص – 12:00 ص, الاثنين: 9:00 ص – 12:00 ص, الثلاثاء: 9:00 ص – 12:00 ص, الأربعاء: 9:00 ص – 12:00 ص, الخميس: 9:00 ص – 1:00 ص, الجمعة: 1:00 م – 1:00 ص",21.5766052,39.1978108,مكان حلو وجميل للاطفال فيه جميع ما يخص الاطفال من تسليه ومهارات والانسه اماني كانت جدا متعاونه بالاستقبال انصح فيه | المكان مرتب ونظيف ويفتح النفس وتعامل الموظفات راقي وأخلاقهم جميلة جدًا، نظامهم ساعتين بـ 88 من ٤ سنوات وفوق بدون مرافق، … | المكان والأسعار والموظفات خيال فوق الخيال اول مره بنتي تنبسط مع العلم أنا مو من اهل جده ونظافة المكان خيال وفعاليات الرس…,,60.0,Mid,3,0,1.0,Positive,"جميل, جميلة, نظيف",,False,South,59.66,Tier 2,⭐ Star
Medium,Entertainment,سباركيز,رد سي مول,Jeddah,3.7,1240,,3,,https://sa.sparkysme.com/,"السبت: 10:00 ص – 12:00 ص, الأحد: 10:00 ص – 11:00 م, الاثنين: 10:00 ص – 11:00 م, الثلاثاء: 10:00 ص – 11:00 م, الأربعاء: 10:00 ص – 11:00 م, الخميس: 10:00 ص – 12:00 ص, الجمعة: 10:00 ص – 12:00 ص",21.626969,39.110257,المكان حلو والألعاب جميلة ولكن للأسف ألعاب بدون مشغلين للألعاب ننتظر نص ساعه عشان يجي الموظف يشغلها ولا يقول موظف الكاشي… | My children and I had a delightful experience at Sparky’s! Two staff members truly stood out with their kindness and hel… | المكان جداً جميل للأطفال ربما يستطيع بعض الكبار مشاركة أبنائهم في بعض الألعاب ♥️ تنظيم وترتيب رائع♥️ موظفين رائعين ومتعا…,,60.0,Mid,3,0,1.0,Positive,"رائع, جميل, جميلة",,False,South,59.68,Tier 2,⚠️ Risky
Medium,Entertainment,شاطئ الردسي,رد سي مول,Jeddah,4.0,393,,19,9200 27758 ext. 201,https://rsb.alkamal.sa/ar/?utm_source=loy&utm_campaign=yeLnL,"السبت: 9:00 ص – 12:00 ص, الأحد: 9:00 ص – 12:00 ص, الاثنين: 9:00 ص – 12:00 ص, الثلاثاء: 9:00 ص – 12:00 ص, الأربعاء: 9:00 ص – 12:00 ص, الخميس: 9:00 ص – 1:00 ص, الجمعة: 1:00 م – 1:00 ص",21.5084073,39.2225555,مكان رائع و الموظفات رائعين شكرا للموظفه مها كانت مع ولدي تلعبه طول الوقت الله يسعدها | سئ جدا و الغريب انه مافي دورة مياه في المكان والأطفال مع الحماس يمسكون نفسهم لآخر لحظة يعني ضروري يكون الحمام قريب وبنتي… | كان اليوم الصباح المكان هادىء ونظيف والموظفة الي كانت موجودة نعمة الله يسعدها متعاونة جدآ🤍🤍🤍,,60.0,Mid,3,0,1.0,Positive,"رائع, نظيف, جودة",,False,South,70.67,Tier 2,⚠️ Risky
Medium,Entertainment,شاطئ الردسي,رد سي مول,Jeddah,3.6,429,,19,9200 27758 ext. 200,https://rsb.alkamal.sa/qqPzox,"السبت: 9:00 ص – 12:00 ص, الأحد: 9:00 ص – 12:00 ص, الاثنين: 9:00 ص – 12:00 ص, الثلاثاء: 9:00 ص – 12:00 ص, الأربعاء: 9:00 ص – 12:00 ص, الخميس: 9:00 ص – 1:00 ص, الجمعة: 1:00 م – 1:00 ص",21.5062438,39.2194053,تجربة سيئة جدا ومكان ما فيه أي أمان عاساس احط بنتي وانا متطمنة ولاكن العكس دخلت بنتي تلعب في شاطئ الردسي فرع الاندلس مول… | للامانه من سنوااااات وانا اجيب اطفالي المكان راااائع وتعامل الموظفات جميل جداً بس زاد السعر مرة كان الطفل ب ٤٩ الحين ٨٦ … | اسوء مكان تترك فيه اطفالك ، حتى موية ما يوفرون لهم يعني اطفال يلعبون ساعة كاملة اكيد يبغون مويه مكلف عليكم تعطونهم مويه …,,60.0,Mid,1,2,0.33,Negative,جميل,"سيئة, مكلف",False,South,58.78,Tier 2,⚠️ Risky
High,Entertainment,Cube Challenges Jeddah,رد سي مول,Jeddah,4.9,1524,,1,053 915 5697,https://jeddah.cubechallenge.sa/sa,"السبت: 4:00 م – 12:00 ص, الأحد: 4:00 م – 12:00 ص, الاثنين: 4:00 م – 12:00 ص, الثلاثاء: 4:00 م – 12:00 ص, الأربعاء: 4:00 م – 12:00 ص, الخميس: 4:00 م – 1:00 ص, الجمعة: 4:00 م – 1:00 ص",21.6288092,39.1098005,المكان ممتع جدا ويناسب المجموعات والألعاب متنوعة وكثيرة تقريبا 30 غرفة .. أخذت ساعة وما كفت كل الشكر للموظف إلي كان معان… | تجربة جميلة جدا لديهم اكثر من 30 غرفة لعب تعاونية تنقسم الي غرف كارديو وتسلق ورياضية والي غرف الغاز و غرف تحتاج الي ذكاء… | المكان رهييبب وجمييل تجربة ممتعة صراحة فيه غرف كثيرة وفيه اقسام وكل التحديات ممتعة رعب او ذكاء وبدني .. فكرة انك تجي مع …,,60.0,Mid,3,0,1.0,Positive,"جميل, جميلة, تنوع",,False,South,68.74,Tier 2,⭐ Star
