keyword,frequency,sentiment
جميل,2481,positive
لذيذ,2140,positive
ممتاز,1849,positive
رائع,1712,positive
نظيف,707,positive
لذيذة,567,positive
ممتازة,536,positive
تنوع,515,positive
رائعة,505,positive
جودة,398,positive
جميلة,372,positive
سريع,273,positive
أفضل,194,positive
مريح,179,positive
احترافي,179,positive
هادئ,137,positive
يستاهل,120,positive
كرم,93,positive
طازج,86,positive
أنصح,74,positive
متميز,55,positive
سريعة,53,positive
مبدع,39,positive
نظيفة,24,positive
شهي,23,positive
طازجة,14,positive
أحسن,12,positive
تجربة رائعة,10,positive
مذهل,7,positive
إبداع,7,positive
صغير,564,negative
قديم,375,negative
بارد,280,negative
سيء,228,negative
سيئة,221,negative
غالي,194,negative
تأخر,81,negative
مزعج,79,negative
انتظار,78,negative
باردة,74,negative
مشكلة,55,negative
غالية,51,negative
أسعار مرتفعة,44,negative
بطيئة,37,negative
متأخر,25,negative
قذر,17,negative
ضيق,16,negative
فوضى,13,negative
شكوى,12,negative
مخيب,10,negative
ضوضاء,7,negative
ضعيف,6,negative
بطيء,6,negative
خيبة,5,negative
لا أنصح,5,negative
بدون طعم,2,negative
ما أرجع,1,negative
مؤسف,1,negative
رديء,1,negative
