mall,missing_category,opportunity_score
الرياض بارك مول,Entertainment,66.33
الرياض بارك مول,Retail - Perfumes,66.33
الرياض مول,Retail - Perfumes,65.76
الرياض مول,Entertainment,65.76
المركز التجاري الكبير,Entertainment,64.88
المركز التجاري الكبير,Retail - Perfumes,64.88
نخيل مول,Entertainment,62.18
نخيل مول,Retail - Perfumes,62.18
الفيصلية مول,Fast Food,62.01
مارينا مول,Retail - Perfumes,61.64
مارينا مول,Entertainment,61.64
دانة مول الرياض,Retail - Perfumes,61.21
دانة مول الرياض,Entertainment,61.21
مركز الأندلس التجاري,Fast Food,60.1
بارك افنيو,Fast Food,59.2
السلام مول الرياض,Retail - Perfumes,58.92
السلام مول الرياض,Entertainment,58.92
العقيق مول,Entertainment,58.76
العقيق مول,Retail - Perfumes,58.76
مول اليرموك,Entertainment,56.44
مول اليرموك,Retail - Perfumes,56.44
الحمراء مول سينومي,Fast Food,56.21
الدرعية جيت,Entertainment,55.11
الدرعية جيت,Retail - Perfumes,55.11
طويق مول,Retail - Perfumes,53.08
طويق مول,Entertainment,53.08
